Taxon,Akkermansia_RA_16S,AmI,AmII,AmIII,AmIV,DNA_Concentration ,
CDI.000A,0.03%,-,-,-,-,9.856,
CDI.000B,0.00%,-,-,-,-,1.668,
CDI.000C,0.00%,-,-,-,-,25.23,
CDI.100A,22.22%,,,,,65.57,
CDI.100B,27.65%,-,+++,-,-,5.16,
CDI.100C,21.34%,-,+++,-,-,3.99,
CDI.105A,3.61%,,,,,42.53,
CDI.106A,0.00%,-,-,-,-,1.61,
CDI.109A,0.00%,-,-,-,-,2.71,
CDI.10A,0.00%,,,,,2.9,
CDI.10B,4.64%,,,,,10.44,
CDI.10C,0.03%,,,,,1.59,
CDI.110A,1.99%,+++,-,-,-,5.848,
CDI.113A,0.00%,-,-,-,-,0.99,
CDI.113B,0.00%,-,-,-,-,2.384,
CDI.113C,0.00%,,,,,6.79,
CDI.114A,0.03%,+,-,-,-,3.071,
CDI.114B,0.19%,,,,,19.29,
CDI.114C,0.72%,++,-,-,-,9.794,
CDI.118A,0.00%,-,-,-,-,1.231,
CDI.119A,0.82%,+++,-,-,-,8.751,
CDI.11A,0.00%,,,,,1.55,
CDI.11B,4.67%,,,,,1.86,
CDI.11C,0.03%,,,,,1.93,
CDI.121A,0.00%,-,+/-,-,-,4.01,
CDI.121B,0.03%,-,-,-,-,2.793,
CDI.121C,0.21%,-,-,-,-,3.15,
CDI.124A.2,0.29%,-,-,-,-,2.07,
CDI.124B,1.17%,-,+++,-,-,4.53,
CDI.124C,0.98%,-,-,-,-,0.96,
CDI.128A,9.15%,-,+++,-,-,5.5,
CDI.128B,7.71%,,,,,21.88,
CDI.128C,1.51%,-,+++,-,-,43.49,
CDI.129A,1.06%,-,+++,-,-,33.29,
CDI.129B,1.35%,-,++,-,-,39.21,
CDI.129C,4.83%,-,+++,-,-,39.5,
CDI.12A,1.09%,,,,,,
CDI.12B,2.20%,,,,,6.58,
CDI.12C,4.59%,,,,,7.94,
CDI.133A,0.00%,-,-,-,-,1.97,
CDI.133B,0.00%,,,,,5.74,
CDI.133C,0.00%,-,-,-,-,2.691,
CDI.134A,0.00%,-,-,-,-,2.684,
CDI.135A,2.47%,-,-,-,+,1.116,
CDI.135B,0.32%,-,-,-,-,1.64,
CDI.135C,0.05%,,,,,25.53,
CDI.138A,15.72%,-,+++,-,-,21.314,
CDI.13A,2.92%,-,-,-,+++,27.16,
CDI.13B,0.45%,-,-,-,+++,3.66,
CDI.13C,10.05%,,,,,,
CDI.142A,5.57%,+++,-,-,-,19.5,
CDI.142B,0.34%,-,+++,-,-,43.09,
CDI.142C,0.50%,-,+++,-,-,12.04,
CDI.143A,0.11%,,,,,53.11,
CDI.143B,1.19%,-,+,-,-,32.16,
CDI.143C,0.90%,+,+,-,-,16.326,Double
CDI.144A,0.03%,-,+,-,-,20.416,
CDI.144B,0.03%,-,-,-,-,20.09,
CDI.144C,0.37%,-,+,-,-,13.274,
CDI.147A,4.40%,-,+,-,-,10.639,
CDI.147B,3.58%,-,+,-,-,3.69,
CDI.148A,20.57%,-,-,-,+++,12.86,
CDI.148B,34.60%,,,,,8.24,
CDI.148C,8.51%,,,,,6.89,
CDI.149A,0.21%,-,-,-,-,0.9,
CDI.149B,6.36%,-,-,-,+++,7.13,
CDI.149C,3.13%,-,-,-,+,2.51,
CDI.14A,0.00%,-,-,-,-,1.105,
CDI.150A,4.64%,-,-,-,-,0.92,
CDI.150B,14.37%,-,-,-,+++,7.12,
