variables,Season,Site,mean_value
NN,FALL,BP,2.6037500000000002
NN,FALL,W,1.1155
NN,SPRING,BP,2.881794871794872
NN,SPRING,W,0.41195121951219515
pH,FALL,BP,7.9722245263
pH,FALL,W,7.972025
pH,SPRING,BP,7.9986856797435895
pH,SPRING,W,7.9386829268292685
Phosphate,FALL,BP,0.1875
Phosphate,FALL,W,0.14675
Phosphate,SPRING,BP,0.21410256410256412
Phosphate,SPRING,W,0.12219512195121951
Salinity,FALL,BP,34.158335822
Salinity,FALL,W,33.66574832075
Salinity,SPRING,BP,34.02961104025641
Salinity,SPRING,W,34.32132376097561
Silicate,FALL,BP,13.391
Silicate,FALL,W,23.1045
Silicate,SPRING,BP,16.476666666666667
Silicate,SPRING,W,8.18780487804878
TA,FALL,BP,2285.923744175
TA,FALL,W,2241.655494625
TA,SPRING,BP,2270.91153425641
TA,SPRING,W,2275.5073195853656
Temp_in,FALL,BP,26.3654855505
Temp_in,FALL,W,25.7258751285
Temp_in,SPRING,BP,24.065978321025643
Temp_in,SPRING,W,23.945775522682926
